2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02
2.258148060754191722e+00,4.490650372517387190e+00,-6.917587621614466886e-02
1.838725717832259354e+00,4.697102721936492031e+00,-6.064951441895537199e-02
1.404128491445763682e+00,4.864812065125681428e+00,-5.162270700353638331e-02
9.580714956760959522e-01,4.992845364815698517e+00,-4.217469823679931284e-02
5.042864495851756557e-01,5.080645231953218044e+00,-3.238666426775249629e-02
4.648146473124326050e-02,5.128018941108117623e+00,-2.234076780750341579e-02
-4.116956623402743265e-01,5.135123088460850305e+00,-1.211927312775776082e-02
-8.666902593298402291e-01,5.102444729543947233e+00,-1.803733654777818843e-03
-1.315069475640809005e+00,5.030779829269100389e+00,8.525739606289836972e-03
-1.753546815086262978e+00,4.921209817656220231e+00,1.879112433580308258e-02
-2.179002587095283605e+00,4.775076979337982586e+00,2.891704669103119935e-02
-2.588500469166622242e+00,4.593959321606092772e+00,3.883125625878085935e-02
-2.979300455867779807e+00,4.379645472125754502e+00,4.846502003933320785e-02
-3.348868526751527686e+00,4.134110060043395762e+00,5.775344101331400526e-02
-3.694883399802556312e+00,3.859489938335415982e+00,6.663570800745649558e-02
-4.015240751761879778e+00,3.558061514840588302e+00,7.505528428041394196e-02
-4.308055285509096777e+00,3.232219377169213814e+00,8.296004256530623011e-02
-4.571661011174890099e+00,2.884456324162330443e+00,9.030235430470362479e-02
-4.804610085106710393e+00,2.517344854446617930e+00,9.703914056730938986e-02
-5.005670522116260734e+00,2.133520110854935758e+00,1.031318917086771897e-01
-5.173823064024975160e+00,1.735664237514922492e+00,1.085466622874474846e-01
-5.308257453335530229e+00,1.326492073376888348e+00,1.132540471208846045e-01
-5.408368326373394375e+00,9.087380808027060164e-01,1.172291436964361250e-01
-5.473750906525893356e+00,4.851443894461926476e-01,1.204515054780745387e-01
-5.504196645961679124e+00,5.844982291490818938e-02,1.229050899776802791e-01
-5.499688933848170258e+00,-3.686202324197132008e-01,1.245782048160896938e-01
-5.460398960768913845e+00,-7.933632615230050700e-01,1.254634543832981730e-01
-5.386681802765402871e+00,-1.213108504282886635e+00,1.255576891256863781e-01
-5.279072764044032695e+00,-1.625225434401699864e+00,1.248619589394566604e-01
-5.138283994662177889e+00,-2.027131976887906362e+00,1.233814716304950931e-01
-4.965201378144745270e+00,-2.416302603492950674e+00,1.211255569065173010e-01
-4.760881663663556473e+00,-2.790276440282655201e+00,1.181076358913338009e-01
-4.526549797814148235e+00,-3.146665515252440759e+00,1.143451956865138286e-01
-4.263596391845620559e+00,-3.483163266451227980e+00,1.098597680457051584e-01
-3.973575241177896178e+00,-3.797553422313601601e+00,1.046769107648862079e-01
-3.658200794977741754e+00,-4.087719355548569133e+00,9.882618992232440613e-02
-3.319345454344522217e+00,-4.351653999630643810e+00,9.234116062088591759e-02
-2.959036558270792927e+00,-4.587470402229881117e+00,8.525934339051415012e-02
-2.579452897117190169e+00,-4.793412972271053007e+00,7.762219290077582157e-02
