# N, dt, tmax
# 3, 40.004384042086805, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, xSat, ySat, zSat E
0.000000000000000000e+00,-5.170151348210463502e-03,-3.199338259971517759e-03,1.635266715080669990e-04,2.656108531185689348e+00,4.247624964374128176e+00,-7.703558120299193457e-02,9.214417335570990630e+00,-2.995248118946571392e+00,-3.147370095891919850e-01,-3.155910129732769618e-08
4.000876904527019917e+01,-4.933228946575594388e-03,-3.418952090581850456e-03,1.602115210062088260e-04,2.391745989366441449e+00,4.413989580940648416e+00,-7.181085199743733605e-02,9.268596891553535499e+00,-2.782667021388991913e+00,-3.205906098141659832e-01,-3.155898191665440557e-08
8.001753809054039834e+01,-4.686390285732013050e-03,-3.623249080540297783e-03,1.565922932858971359e-04,2.118445435934470655e+00,4.563877490970462247e+00,-6.631772462541274393e-02,9.317940910050507952e+00,-2.568634375986952101e+00,-3.262769545275800986e-01,-3.155885746842839286e-08
1.200263071358105975e+02,-4.430646845097197840e-03,-3.811771237698893377e-03,1.526890958307617436e-04,1.837279220674705948e+00,4.696841036499517230e+00,-6.057833135507924988e-02,9.362406051664024176e+00,-2.353257129256234759e+00,-3.317924610355951764e-01,-3.155872878395677028e-08
1.600350761810807967e+02,-4.167027441596032541e-03,-3.984131471680420547e-03,1.485227237688957534e-04,1.549337202693888527e+00,4.812507253444300304e+00,-5.461550648998746843e-02,9.401951145051718584e+00,-2.136643680119154620e+00,-3.371336073296273828e-01,-3.155859668228527905e-08
2.000438452263509816e+02,-3.896572809401689392e-03,-4.140013449284373273e-03,1.441145384003395663e-04,1.255721057437362509e+00,4.910577710327120649e+00,-4.845265833075708406e-02,9.436537240602616450e+00,-1.918903847059359791e+00,-3.422969348050372007e-01,-3.155846196165368569e-08
2.400526142716211950e+02,-3.620330357307950317e-03,-4.279170999267565070e-03,1.394863478351825582e-04,9.575387697170040235e-01,4.990827874424247135e+00,-4.211364333505932672e-02,9.466127664217482973e+00,-1.700148833224760070e+00,-3.472790510207480197e-01,-3.155832539207192870e-08
2.800613833168914084e+02,-3.339349142232352768e-03,-4.401427103245152302e-03,1.346602907561266827e-04,6.558993530915776526e-01,5.053106043807630066e+00,-3.562264353830796315e-02,9.490688071130389147e+00,-1.480491189428534415e+00,-3.520766324979381912e-01,-3.155818770906887640e-08
3.200701523621615934e+02,-3.054675091016611534e-03,-4.506672512259471582e-03,1.296587241892831102e-04,3.519078293094465848e-01,5.097331886685688040e+00,-2.900404816128456312e-02,9.510186499703515040e+00,-1.260044774999671713e+00,-3.566864275557777852e-01,-3.155804960862729495e-08
3.600789214074317783e+02,-2.767346496343133649e-03,-4.594864030339757335e-03,1.245041160323064294e-04,4.666049487671329599e-02,5.123494631308831870e+00,-2.228234018993543314e-02,9.524593425122594326e+00,-1.038924716436151696e+00,-3.611052591819986501e-01,-3.155791174328352627e-08
4.000876904527019633e+02,-2.478389806380227461e-03,-4.666022507192735432e-03,1.192189429534856894e-04,-2.587595046848384928e-01,5.131650950561626345e+00,-1.548198857073380431e-02,9.533881812915884879e+00,-8.172473638157193854e-01,-3.653300279358964175e-01,-3.155777471934102101e-08
4.400964594979722051e+02,-2.188815721836545169e-03,-4.720230582110788130e-03,1.138255941424439724e-04,-5.632862785372214631e-01,5.121922585308213094e+00,-8.627346525795409962e-03,9.538027172214988525e+00,-5.951302449212623191e-01,-3.693577148811688637e-01,-3.155763909512337938e-08
4.801052285432423901e+02,-1.899615608554998825e-03,-4.757630220363123254e-03,1.083462812654799236e-04,-8.658749636421698703e-01,5.094493749698236762e+00,-1.742556358334812049e-03,9.537007608671443037e+00,-3.726920170401105126e-01,-3.731853845457914765e-01,-3.155750538017528147e-08
5.201139975885125750e+02,-1.611758228689918592e-03,-4.778420081858032742e-03,1.028029548586166910e-04,-1.165505164078505462e+00,5.049608360093900572e+00,5.148539006535528782e-03,9.530803876938588104e+00,-1.500524163991420468e-01,-3.768101879059247983e-01,-3.155737403530761158e-08
5.601227666337828168e+02,-1.326186788946314777e-03,-4.782852759845362609e-03,9.721722728087559885e-05,-1.461184058125742924e+00,4.987567127165146275e+00,1.202247761638222841e-02,9.519399432623892210e+00,7.266779479956773924e-02,-3.802293653906361759e-01,-3.155724547337635797e-08
6.001315356790529449e+02,-1.043816300351422480e-03,-4.771231924982069147e-03,9.161030225041048966e-05,-1.751949178875914059e+00,4.908724548138756028e+00,1.885625319666779307e-02,9.502780483612678353e+00,2.953468837746713871e-01,-3.834402499040014956e-01,-3.155712006068250689e-08
6.401403047243231867e+02,-7.655312405908029898e-04,-4.743909407318873221e-03,8.600291089770304451e-05,-2.036870877735077467e+00,4.813485833292467042e+00,2.562738303442852264e-02,9.480936040660012054e+00,5.178622050217172035e-01,-3.864402698609333831e-01,-3.155699811888268414e-08
6.801490737695934286e+02,-4.921835070708390804e-04,-4.701282245784257734e-03,8.041525419337917685e-05,-2.315054483181071099e+00,4.702303797663326179e+00,3.231396918843758986e-02,9.453857967143433072e+00,7.400902606544580431e-01,-3.892269522328592468e-01,-3.155687992730351384e-08
7.201578428148635567e+02,-2.245906465489047902e-04,-4.643789731634725623e-03,7.486695154334469925e-05,-2.585642169573353133e+00,4.575675745686322848e+00,3.889475324174279658e-02,9.421541027865274032e+00,9.619067632521114408e-01,-3.917979255991474452e-01,-3.155676572556162367e-08
