# N, dt, tmax
# 2, 2253.0864197530864, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
2.267080745341615057e+03,2.653309808358341598e-02,1.072575661492431061e-02,-6.381897527226168196e-04,-2.778945954983128885e+01,-1.123362898116267594e+01,6.684085010553282302e-01,9.521305978509723237e-08
4.534161490683230113e+03,5.412857384335294925e-02,2.490956210836917789e-02,-1.314512639823493985e-03,-5.669160113046109473e+01,-2.608904796695522421e+01,1.376755768099261701e+00,9.378507852225081032e-08
6.801242236024845624e+03,8.139037076189656328e-02,3.893981111159836028e-02,-1.982732134884106125e-03,-8.524426393436939975e+01,-4.078363945118650946e+01,2.076615941604023963e+00,9.364843759278587307e-08
9.068322981366460226e+03,1.085076574111117492e-01,5.290092168311064796e-02,-2.647431248453196821e-03,-1.136455738027333240e+02,-5.540581874874124679e+01,2.772789040996655796e+00,9.361582170094376714e-08
1.133540372670807483e+04,1.355445021117174242e-01,6.682281425540556596e-02,-3.310167693824334068e-03,-1.419626327377930579e+02,-6.998692304633014771e+01,3.466906538426600903e+00,9.360432699722959738e-08
1.360248447204969125e+04,1.625301283368859040e-01,8.071945635558788745e-02,-3.971653319427219386e-03,-1.702260479654017331e+02,-8.454158124361157434e+01,4.159713988863749989e+00,9.359927742721800978e-08
1.586956521739130585e+04,1.894802867703557214e-01,9.459848362402581423e-02,-4.632272239428662439e-03,-1.984523159756131747e+02,-9.907779053407116976e+01,4.851613694559707035e+00,9.359671927432897161e-08
1.813664596273292045e+04,2.164044305707323590e-01,1.084645230250470688e-01,-5.292255173150211232e-03,-2.266513375409591333e+02,-1.136003969721583502e+02,5.542847299563476327e+00,9.359528690233035883e-08
2.040372670807453687e+04,2.433086771627861189e-01,1.223205897041393792e-01,-5.951751512843161951e-03,-2.548295197507160026e+02,-1.281125584726896989e+02,6.233571269957961292e+00,9.359442310507009278e-08
2.267080745341614966e+04,2.701972124514349649e-01,1.361687577093334822e-01,-6.610863526851966376e-03,-2.829912467154400133e+02,-1.426164472913766303e+02,6.923892716568006200e+00,9.359387148657081664e-08
2.493788819875776608e+04,2.970730265926374569e-01,1.500105147570321984e-01,-7.269664294978886269e-03,-3.111396501771462795e+02,-1.571136215890742847e+02,7.613888179577589455e+00,9.359350280515748222e-08
2.720496894409938250e+04,3.239383298991058702e-01,1.638469642352518574e-01,-7.928207852813597134e-03,-3.392770451084592764e+02,-1.716052370000228962e+02,8.303614253200803930e+00,9.359324707387329594e-08
2.947204968944099528e+04,3.507948023836823803e-01,1.776789471121923703e-01,-8.586535281265001915e-03,-3.674051910720497744e+02,-1.860921743128775745e+02,8.993113963557433976e+00,9.359306413476587039e-08
3.173913043478261170e+04,3.776437508753910377e-01,1.915071190571528414e-01,-9.244678542135311566e-03,-3.955254567762450506e+02,-2.005751202433549167e+02,9.682420785864232826e+00,9.359292981793556912e-08
3.400621118012422812e+04,4.044862119551514423e-01,2.053320011672637724e-01,-9.902662991856509694e-03,-4.236389278848243407e+02,-2.150546205629130725e+02,1.037156127719866028e+01,9.359282898064207922e-08
3.627329192546584090e+04,4.313230216856097643e-01,2.191540144456884942e-01,-1.056050908480327469e-02,-4.517464800486073386e+02,-2.295311162095209454e+02,1.106055686046489228e+01,9.359275180578407698e-08
3.854037267080745369e+04,4.581548642108645986e-01,2.329735039011169850e-01,-1.121823356074134852e-02,-4.798488298064125388e+02,-2.440049685282805569e+02,1.174942506806873688e+01,9.359269173839472537e-08
4.080745341614907375e+04,4.849823064711761278e-01,2.467907558049619032e-01,-1.187585029319851784e-02,-5.079465709435332883e+02,-2.584764773457638967e+02,1.243818043045959598e+01,9.359264428769417347e-08
4.307453416149068653e+04,5.118058235361149233e-01,2.606060103123661875e-01,-1.253337090867987988e-02,-5.360402010244295070e+02,-2.729458941886343837e+02,1.312683512466603197e+01,9.359260630671635745e-08
4.534161490683229931e+04,5.386258174428438794e-01,2.744194708655743331e-01,-1.319080524720505493e-02,-5.641301411230155054e+02,-2.874134321322745222e+02,1.381539945663973690e+01,9.359257554554229314e-08
4.760869565217391937e+04,5.654426314404527032e-01,2.882313113163850193e-01,-1.384816171058843304e-02,-5.922167507414748115e+02,-3.018792732604919138e+02,1.450388222602711963e+01,9.359255036655548508e-08
4.987577639751553215e+04,5.922565609223264804e-01,3.020416814009612150e-01,-1.450544752977533068e-02,-6.203003392602839767e+02,-3.163435743995656253e+02,1.519229100616400530e+01,9.359252955849599966e-08
5.214285714285714494e+04,6.190678619296778873e-01,3.158507110042043653e-01,-1.516266897280874049e-02,-6.483811748443929446e+02,-3.308064715845415549e+02,1.588063236188978067e+01,9.359251221235747258e-08
5.440993788819876499e+04,6.458767578463074921e-01,3.296585135212730111e-01,-1.581983150857737067e-02,-6.764594914549875284e+02,-3.452680835799212673e+02,1.656891202104899818e+01,9.359249763691494823e-08
5.667701863354037778e+04,6.726834447275014117e-01,3.434651885363387280e-01,-1.647693993716847771e-02,-7.045354944307140386e+02,-3.597285146852593130e+02,1.725713501101653691e+01,9.359248530019429422e-08
5.894409937888199056e+04,6.994880955843919557e-01,3.572708239785166162e-01,-1.713399849467918401e-02,-7.326093649749075212e+02,-3.741878569931782863e+02,1.794530576847179404e+01,9.359247478825309005e-08
6.121118012422360334e+04,7.262908638602398881e-01,3.710754978728362241e-01,-1.779101093826607194e-02,-7.606812637964786745e+02,-3.886461922232493293e+02,1.863342822847544866e+01,9.359246577571876972e-08
6.347826086956522340e+04,7.530918862749063081e-01,3.848792797742375815e-01,-1.844798061574241810e-02,-7.887513340890734526e+02,-4.031035932238896748e+02,1.932150589736216162e+01,9.359245800444112839e-08
6.574534161490683618e+04,7.798912851704982163e-01,3.986822319510547885e-01,-1.910491052297430201e-02,-8.168197039877860561e+02,-4.175601252118840989e+02,2.000954191285445205e+01,9.359245126782935961e-08
6.801242236024845624e+04,8.066891704596146351e-01,4.124844103687347885e-01,-1.976180335155582057e-02,-8.448864886096572491e+02,-4.320158468026841661e+02,2.069753909399535274e+01,9.359244539922528408e-08
