# N, dt, tmax
# 2, 53.34697456883952, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
5.335477269405057399e+01,-2.199840913476339924e-03,-4.263285301963034776e-03,6.692691272376343338e-05,2.304004978556897232e+00,4.465154957595948382e+00,-7.009595065277540726e-02,-2.712832143887490766e-08
1.067095453881011480e+02,-1.846614643799071240e-03,-4.443650457599532429e-03,5.977322434413328905e-05,1.934053188448843441e+00,4.654060534357851608e+00,-6.260352993237601471e-02,-2.712681609079776252e-08
1.600643180821517149e+02,-1.481302070377514893e-03,-4.594942505370957185e-03,5.222835945810027058e-05,1.551442799335471578e+00,4.812516370480374839e+00,-5.470141021386930313e-02,-2.712528313958479334e-08
2.134190907762022960e+02,-1.106387061584844988e-03,-4.716461735487263024e-03,4.434498431387101918e-05,1.158775292561552872e+00,4.939789624406689228e+00,-4.644475153056800559e-02,-2.712373269132035517e-08
2.667738634702528771e+02,-7.243722021018366049e-04,-4.807732538093930849e-03,3.617711477664259292e-05,7.586717520102186363e-01,5.035382165810211141e+00,-3.789012743812000122e-02,-2.712217441755316860e-08
3.201286361643034297e+02,-3.377572547686107747e-04,-4.868498725088355426e-03,2.777961501358985606e-05,3.537503061077417188e-01,5.099025675895595633e+00,-2.909499996186580908e-02,-2.712061742666873532e-08
3.734834088583540392e+02,5.098088389871230971e-05,-4.898716716301146010e-03,1.920772072627050160e-05,-5.339486578065578276e-02,5.130674510940779420e+00,-2.011722025395165647e-02,-2.711907016550430733e-08
4.268381815524045919e+02,4.394065452503159675e-04,-4.898546920075031071e-03,1.051659253610105893e-05,-4.602127643254705358e-01,5.130496674740027352e+00,-1.101456083128337683e-02,-2.711754035050244266e-08
4.801929542464551446e+02,8.251418431757873758e-04,-4.868343643056846290e-03,1.760903686364824266e-06,-8.642129087818131161e-01,5.098863250617251985e+00,-1.844283754924983584e-03,-2.711603492647690555e-08
5.335477269405057541e+02,1.205881358473809674e-03,-4.808643856987234247e-03,-7.005535158451246580e-06,-1.262980716674671822e+00,5.036336636315037474e+00,7.337252336588408891e-03,-2.711456005017013896e-08
5.869024996345563068e+02,1.579404943354082097e-03,-4.720155133566035152e-03,-1.573011250984385564e-05,-1.654190914603297369e+00,4.943657907567145848e+00,1.647494476255915649e-02,-2.711312109520850324e-08
6.402572723286068594e+02,1.943588682638918916e-03,-4.603743034344876320e-03,-2.436171367520301325e-05,-2.035619018463660890e+00,4.821733610893365274e+00,2.551525851255565663e-02,-2.711172267478088518e-08
6.936120450226574121e+02,2.296414086106878666e-03,-4.460418213261325981e-03,-3.285097999589514927e-05,-2.405150961056230940e+00,4.671622255429283221e+00,3.440649775960697571e-02,-2.711036867833322408e-08
7.469668177167080785e+02,2.635975616023179986e-03,-4.291323456919717873e-03,-4.115053109631618751e-05,-2.760790976050419232e+00,4.494520739554999089e+00,4.309903863291005000e-02,-2.710906231872970148e-08
8.003215904107586312e+02,2.960486675612598005e-03,-4.097720853825715867e-03,-4.921515216326586965e-05,-3.100667870016022398e+00,4.291750912583621513e+00,5.154552536501835064e-02,-2.710780618663072780e-08
8.536763631048091838e+02,3.268284198717984115e-03,-3.880979249976479299e-03,-5.700194873954883540e-05,-3.423039829405402301e+00,4.064746436364519155e+00,5.970103241503245395e-02,-2.710660230922256396e-08
9.070311357988597365e+02,3.557831989003814623e-03,-3.642562115660928114e-03,-6.447047183249279270e-05,-3.726297917870751597e+00,3.815040077567767529e+00,6.752319550109740776e-02,-2.710545221086482419e-08
9.603859084929102892e+02,3.827722959756254487e-03,-3.384015917892810137e-03,-7.158281632471295234e-05,-4.008968422120314123e+00,3.544251529543471779e+00,7.497231467098834645e-02,-2.710435697366073662e-08
1.013740681186960956e+03,4.076680423567637622e-03,-3.106959065160828405e-03,-7.830369575021477754e-05,-4.269714202670364500e+00,3.254075833597784406e+00,8.201143261891596925e-02,-2.710331729637743675e-08
1.067095453881011508e+03,4.303558575908157831e-03,-2.813071466469987958e-03,-8.460049648332160070e-05,-4.507335200314370738e+00,2.946272443647280248e+00,8.860639144033935488e-02,-2.710233355053004381e-08
1.120450226575062061e+03,4.507342308641422435e-03,-2.504084725101600462e-03,-9.044331429963282985e-05,-4.720768240808368432e+00,2.622654955646372077e+00,9.472587092411194343e-02,-2.710140583278425399e-08
