# N, dt, tmax
# 2, 2991.8032786885246, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
3.016528925619834808e+03,4.264970974307460971e-02,2.608984725752909462e-02,-1.062593505289317246e-03,-4.466920447750249679e+01,-2.732522047521349506e+01,1.112908079566519604e+00,1.652900306815797743e-07
6.033057851239669617e+03,8.593000197162262155e-02,5.756002572541239759e-02,-2.161644191793567898e-03,-8.999884997918142915e+01,-6.028553475152903474e+01,2.263999614358725765e+00,1.645199338350493785e-07
9.049586776859505335e+03,1.290324628571742904e-01,8.891110764253136456e-02,-3.256221472823462790e-03,-1.351422436946075152e+02,-9.312111316889719603e+01,3.410405924678163281e+00,1.644423626762449536e-07
1.206611570247933923e+04,1.720578571005386692e-01,1.202090865315794677e-01,-4.348853927138211437e-03,-1.802049216063622907e+02,-1.259010740912446380e+02,4.554775319324889438e+00,1.644236164117642890e-07
1.508264462809917313e+04,2.150404692932997852e-01,1.514771755719517277e-01,-5.440405042541430168e-03,-2.252227917063435427e+02,-1.586497298588713250e+02,5.698012172877208847e+00,1.644169814066824545e-07
1.809917355371901067e+04,2.579959109540325701e-01,1.827261253601134561e-01,-6.531268758530989552e-03,-2.702122047298699954e+02,-1.913783401167937086e+02,6.840529078154347076e+00,1.644140620854335354e-07
2.111570247933884457e+04,3.009325777676371549e-01,2.139617778267493553e-01,-7.621657181830803450e-03,-3.151819539036198421e+02,-2.240930234153576919e+02,7.982548185287658526e+00,1.644125824457457651e-07
2.413223140495867847e+04,3.438554982669956295e-01,2.451876567232405546e-01,-8.711697455074085203e-03,-3.601373058651595329e+02,-2.567974703581317044e+02,9.124202657206385680e+00,1.644117539937308025e-07
2.714876033057851237e+04,3.867679206671985614e-01,2.764060499047418795e-01,-9.801471755361140792e-03,-4.050816626349234753e+02,-2.894940771318738939e+02,1.026557856215622522e+01,1.644112545344044127e-07
3.016528925619834627e+04,4.296720640664595803e-01,3.076185264478912273e-01,-1.089103624922575786e-02,-4.500173483870375435e+02,-3.221844871101407648e+02,1.140673472619712925e+01,1.644109357084970606e-07
3.318181818181818380e+04,4.725695114533446928e-01,3.388262090618685551e-01,-1.198043101710738294e-02,-4.949460210657261428e+02,-3.548698761632070955e+02,1.254771312760647106e+01,1.644107227130767774e-07
3.619834710743802134e+04,5.154614315375243283e-01,3.700299286715322822e-01,-1.306968565857981844e-02,-5.398689047199115976e+02,-3.875511145608273296e+02,1.368854476751936922e+01,1.644105750405343075e-07
3.921487603305785160e+04,5.583487116691284724e-01,4.012303174377809811e-01,-1.415882265260493510e-02,-5.847869287163968011e+02,-4.202288643971773467e+02,1.482925318929286718e+01,1.644104694512185622e-07
4.223140495867768914e+04,6.012320414232543708e-01,4.324278674561772284e-01,-1.524785947142960965e-02,-6.297008152821609883e+02,-4.529036410689022887e+02,1.596985669249741946e+01,1.644103919610948176e-07
4.524793388429751940e+04,6.441119672989765732e-01,4.636229692819028303e-01,-1.633680996441671043e-02,-6.746111367934065584e+02,-4.855758536242554442e+02,1.711036978227328476e+01,1.644103338114836806e-07
4.826446280991735694e+04,6.869889297346417623e-01,4.948159380640788640e-01,-1.742568529476205830e-02,-7.195183545435559154e+02,-5.182458321348975687e+02,1.825080415040171999e+01,1.644102893258828940e-07
5.128099173553719447e+04,7.298632888819150955e-01,5.260070317817072683e-01,-1.851449459189744018e-02,-7.644228457377173527e+02,-5.509138467953239342e+02,1.939116935859973623e+01,1.644102547152923473e-07
5.429752066115702473e+04,7.727353430000027945e-01,5.571964642819846603e-01,-1.960324541719153657e-02,-8.093249227578869522e+02,-5.835801215785508020e+02,2.053147332627230881e+01,1.644102273847571500e-07
5.731404958677686227e+04,8.156053418680229150e-01,5.883844148025894061e-01,-2.069194410358473485e-02,-8.542248472104054144e+02,-6.162448442092915002e+02,2.167172268622915610e+01,1.644102055164438266e-07
6.033057851239669253e+04,8.584734967512696047e-01,6.195710350573834235e-01,-2.178059600800152582e-02,-8.991228403641320028e+02,-6.489081735851689245e+02,2.281192304904903523e+01,1.644101878111268678e-07
6.334710743801653007e+04,9.013399879318438890e-01,6.507564545971984415e-01,-2.286920570210441289e-02,-9.440190910376563806e+02,-6.815702453913411318e+02,2.395207920286598480e+01,1.644101733234652265e-07
6.636363636363636761e+04,9.442049704845929536e-01,6.819407849261632792e-01,-2.395777711862000225e-02,-9.889137616487321338e+02,-7.142311764117379198e+02,2.509219526662407773e+01,1.644101613544610566e-07
6.938016528925619787e+04,9.870685787671009681e-01,7.131241227048279452e-01,-2.504631366510084306e-02,-1.033806992916872787e+03,-7.468910678838572039e+02,2.623227480922594879e+01,1.644101513797036081e-07
7.239669421487604268e+04,1.029930929952629359e+00,7.443065522728578021e-01,-2.613481831344822981e-02,-1.078698907563578814e+03,-7.795500081409084032e+02,2.737232094329457865e+01,1.644101430005404240e-07
7.541322314049587294e+04,1.072792126840779847e+00,7.754881476576656052e-01,-2.722329367113992399e-02,-1.123589613256087659e+03,-8.122080747155559948e+02,2.851233639977369450e+01,1.644101359102527480e-07
7.842975206611570320e+04,1.115652260116105632e+00,8.066689741897585808e-01,-2.831174203847294790e-02,-1.168479204972931711e+03,-8.448653360317540546e+02,2.965232358788105316e+01,1.644101298702416162e-07
8.144628099173553346e+04,1.158511410179866807e+00,8.378490898137194165e-01,-2.940016545499183828e-02,-1.213367766922429837e+03,-8.775218527778039288e+02,3.079228464373510477e+01,1.644101246930105153e-07
8.446280991735537827e+04,1.201369648648205501e+00,8.690285461611397810e-01,-3.048856573746474424e-02,-1.258255374111800165e+03,-9.101776790300901894e+02,3.193222147012928858e+01,1.644101202298384856e-07
8.747933884297520854e+04,1.244227039587075812e+00,9.002073894355540062e-01,-3.157694451118889245e-02,-1.303142093640565918e+03,-9.428328631799181494e+02,3.307213576931984989e+01,1.644101163617379652e-07
9.049586776859503880e+04,1.287083640537545204e+00,9.313856611475656022e-01,-3.266530323598379471e-02,-1.348027985774406034e+03,-9.754874487034486492e+02,3.421202907024979112e+01,1.644101129927438798e-07
