# N, dt, tmax
# 2, 225.0308261405672, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
2.251696483652066547e+02,-9.947181456748280075e-04,-4.750466622972411568e-03,4.198781502999508237e-05,1.041818772373849900e+00,4.975404668013292842e+00,-4.397596856899955303e-02,-2.710229407086205623e-08
4.503392967304133094e+02,6.623550867341975118e-04,-4.905299411881803087e-03,5.556512614097429425e-06,-6.937180811845510275e-01,5.137568901938440291e+00,-5.819617522279696073e-03,-2.706912763090957893e-08
6.755089450956199926e+02,2.248325929544563520e-03,-4.533558891599323917e-03,-3.147126944332513860e-05,-2.354785795352447586e+00,4.748226198011420429e+00,3.296145691023694840e-02,-2.703701531213821283e-08
9.006785934608266189e+02,3.608442327372446759e-03,-3.706402004053322048e-03,-6.533762103392201626e-05,-3.779304692521336495e+00,3.881902831044860669e+00,6.843140484705748094e-02,-2.700983320843674736e-08
1.125848241826033245e+03,4.629253918876656895e-03,-2.530729081041478007e-03,-9.306022226376213025e-05,-4.848452454337244255e+00,2.650560941192804609e+00,9.746669138110174158e-02,-2.698890604852957893e-08
1.351017890191239985e+03,5.239868430937941537e-03,-1.130808861144177307e-03,-1.125367795189464028e-04,-5.487980007056988185e+00,1.184353482068494001e+00,1.178654777688773608e-01,-2.697411009674555141e-08
1.576187538556446498e+03,5.407916048327751114e-03,3.646211168204602920e-04,-1.225083170003587020e-04,-5.663984801189529961e+00,-3.818861915399839324e-01,1.283091747927384285e-01,-2.696481227794229092e-08
1.801357186921653238e+03,5.134175619080550215e-03,1.830264158463754121e-03,-1.224718015496046848e-04,-5.377282563789473002e+00,-1.916928495756925921e+00,1.282709303088686303e-01,-2.696040818204290711e-08
2.026526835286859978e+03,4.447998407514350272e-03,3.148879066222182513e-03,-1.125969245967218483e-04,-4.658614362859214708e+00,-3.297980777157472954e+00,1.179284707597711146e-01,-2.696056140569387938e-08
2.251696483652066490e+03,3.404292955166161178e-03,4.214388399329388468e-03,-9.367155421278939469e-05,-3.565488699259690808e+00,-4.413942751106934459e+00,9.810697034194890143e-02,-2.696528416025349331e-08
2.476866132017273230e+03,2.081991367873263152e-03,4.935006051646546876e-03,-6.708041202201398836e-05,-2.180575171370944254e+00,-5.168682172673097597e+00,7.025671825429045947e-02,-2.697493484602043234e-08
2.702035780382479970e+03,5.833438200587067607e-04,5.237625629722504270e-03,-3.480751731643614210e-05,-6.109655736431112150e-01,-5.485631007574969686e+00,3.645567854338245539e-02,-2.699012992339406618e-08
2.927205428747686710e+03,-9.671864748284388080e-04,5.074409457999241174e-03,5.611667933589606534e-07,1.012983456915591995e+00,-5.314686431570546432e+00,-5.877384486210706065e-04,-2.701148914961435092e-08
3.152375077112892996e+03,-2.426375156786560877e-03,4.431963317062286717e-03,3.587685400817906822e-05,2.541265782828225017e+00,-4.641819999227354110e+00,-3.757564910417901527e-02,-2.703907188944368270e-08
3.377544725478099735e+03,-3.640702358297682323e-03,3.342258599450850798e-03,6.757197184746285053e-05,3.813092259342559576e+00,-3.500516971743368178e+00,-7.077155379451281758e-02,-2.707141289450868435e-08
3.602714373843306475e+03,-4.462509393299205623e-03,1.892210252268995696e-03,9.198185759945519489e-05,4.673812454360861679e+00,-1.981807782097626980e+00,-9.633726536668298090e-02,-2.710443400277892162e-08
3.827884022208513215e+03,-4.774448219044446357e-03,2.259656424396065677e-04,1.058822696708493043e-04,5.000521810078076612e+00,-2.366652797364951488e-01,-1.108958720460512526e-01,-2.713125342035087109e-08
4.053053670573719955e+03,-4.517615679077140872e-03,-1.467197844955948904e-03,1.071691187999927416e-04,4.731528062796153122e+00,1.536670728595763924e+00,-1.122436544161467542e-01,-2.714424096157030259e-08
4.278223318938926241e+03,-3.712397037083928902e-03,-2.982260545508885058e-03,9.544688094803989269e-05,3.888181733243882832e+00,3.123472748467082116e+00,-9.996636008760030612e-02,-2.713904577753182281e-08
4.503392967304132981e+03,-2.459865981364425802e-03,-4.137986098217277808e-03,7.222410199743064824e-05,2.576342422275499811e+00,4.333922745543293154e+00,-7.564396568609926819e-02,-2.711745944689046821e-08
4.728562615669339721e+03,-9.203703777913782580e-04,-4.810979941680070676e-03,4.057575964993881575e-05,9.639505836795292382e-01,5.038783336314863526e+00,-4.249705134106859794e-02,-2.708619407899121301e-08
4.953732264034546461e+03,7.210695279704186500e-04,-4.951088324209627217e-03,4.433066329072852564e-06,-7.552126938598209271e-01,5.185525952523203586e+00,-4.642975239657789847e-03,-2.705287067854850441e-08
5.178901912399753201e+03,2.287560942092686095e-03,-4.576576982178018338e-03,-3.217040313308592615e-05,-2.395878614242593851e+00,4.793281226424678465e+00,3.369369508801507013e-02,-2.702288365190411350e-08
5.404071560764959941e+03,3.631719482040732250e-03,-3.757258467754143877e-03,-6.564716324280257982e-05,-3.803684037370240745e+00,3.935167385240886162e+00,6.875560410436076797e-02,-2.699873278954612115e-08
5.629241209130166681e+03,4.644613738815611681e-03,-2.595224735601642241e-03,-9.313597175506849787e-05,-4.864539572906720011e+00,2.718110511842018795e+00,9.754602766584116735e-02,-2.698088922247392776e-08
5.854410857495373421e+03,5.256220113687350148e-03,-1.208967355202820310e-03,-1.125779675642155867e-04,-5.505105953861424872e+00,1.266212837590276585e+00,1.179086160980064718e-01,-2.696888645592774752e-08
6.079580505860579251e+03,5.431965768218013912e-03,2.775410365521216449e-04,-1.226846781349652483e-04,-5.689173292784815317e+00,-2.906828062213926422e-01,1.284938867551662367e-01,-2.696206057975378468e-08
6.304750154225785991e+03,5.168556847503134877e-03,1.741611250081907120e-03,-1.228727809650824237e-04,-5.413291768350243949e+00,-1.824077807771242510e+00,1.286908963909156600e-01,-2.695992181065279201e-08
