# N, dt, tmax
# 2, 71.13623075423894, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
7.115009746588694384e+01,-2.083127300417659655e-03,-4.326794043145787416e-03,6.457942955654059891e-05,2.181764891146387608e+00,4.531670883802497940e+00,-6.763731245251897173e-02,-2.712579176012230160e-08
1.423001949317738877e+02,-1.603377027811918364e-03,-4.548302874923875264e-03,5.476586548929267604e-05,1.679298094672041497e+00,4.763668319655500305e+00,-5.735906899872503240e-02,-2.712168193960961554e-08
2.134502923976608315e+02,-1.105124035853856206e-03,-4.717377955101680932e-03,4.432053187061610133e-05,1.157452461644818520e+00,4.940749227685335754e+00,-4.641914124636422473e-02,-2.711750636481632910e-08
2.846003898635477753e+02,-5.942874518110353999e-04,-4.832813023947619968e-03,3.337084943641557562e-05,6.224273943076858995e-01,5.061650230885974544e+00,-3.495098339573683710e-02,-2.711330976147660289e-08
3.557504873294346908e+02,-7.677554932078336884e-05,-4.894098892334716906e-03,2.204689158835448855e-05,8.041092734610055803e-02,5.125838029655439776e+00,-2.309082791855223207e-02,-2.710913339502514150e-08
4.269005847953216630e+02,4.415992834138454367e-04,-4.901392572197901983e-03,1.047935371265000102e-05,-4.625093302337114909e-01,5.133477070557820987e+00,-1.097555872249395340e-02,-2.710501424979948374e-08
4.980506822612086353e+02,9.551955033828420745e-04,-4.855476423074134816e-03,-1.202293626006726155e-06,-1.000424704262552034e+00,5.085386758422412612e+00,1.259223102469366829e-03,-2.710098453962055404e-08
5.692007797270955507e+02,1.458606511743141664e-03,-4.757709941874039422e-03,-1.287143905590082719e-05,-1.527672589515120416e+00,4.982990963326008327e+00,1.348091104420954048e-02,-2.709707151634483976e-08
6.403508771929824661e+02,1.946713711486875798e-03,-4.609976693460916299e-03,-2.440573792178551610e-05,-2.038892019697394975e+00,4.828262438296292203e+00,2.556136733919031276e-02,-2.709329752735329818e-08
7.115009746588693815e+02,2.414728845436676929e-03,-4.414628632433928446e-03,-3.568829080872841768e-05,-2.529068010176768855e+00,4.623664504691008759e+00,3.737815730027379407e-02,-2.708968026581085053e-08
7.826510721247564106e+02,2.858226319955838035e-03,-4.174429744740986228e-03,-4.660860083712798751e-05,-2.993565412243360591e+00,4.372092025200292831e+00,4.881555194035127471e-02,-2.708623315735700643e-08
8.538011695906433260e+02,3.273166486037923113e-03,-3.892500580170458677e-03,-5.706332494255194330e-05,-3.428153296576129883e+00,4.076813309911560879e+00,5.976531482582760763e-02,-2.708296583168353944e-08
9.249512670565302415e+02,3.655911008669936700e-03,-3.572264885108490315e-03,-6.695683941883908558e-05,-3.829021050356556710e+00,3.741414222089141095e+00,7.012729439859978486e-02,-2.707988463522594752e-08
9.961013645224172706e+02,4.003231523726507798e-03,-3.217399202716680374e-03,-7.620164295399806413e-05,-4.192787444073050374e+00,3.369745391883743668e+00,7.980984609599812984e-02,-2.707699315023768389e-08
1.067251461988304072e+03,4.312312777824128460e-03,-2.831786000362352708e-03,-8.471862157933998487e-05,-4.516503920049570020e+00,2.965873124312522702e+00,8.873010984545291746e-02,-2.707429269454577661e-08
1.138401559454191101e+03,4.580751389219854357e-03,-2.419470620173325842e-03,-9.243719976572637711e-05,-4.797653294671974322e+00,2.534034311391326622e+00,9.681416831525924138e-02,-2.707178278446224209e-08
1.209551656920078130e+03,4.806551273978255066e-03,-1.984622130846979207e-03,-9.929540070528679947e-05,-5.034144967980660468e+00,2.078595430248515008e+00,1.039971100506779517e-01,-2.706946155019364938e-08
1.280701754385964932e+03,4.988116665634629784e-03,-1.531497986110800374e-03,-1.052398369392332765e-04,-5.224307612809759860e+00,1.604015528137916258e+00,1.102230196579701144e-01,-2.706732609848944561e-08
1.351851851851851961e+03,5.124243529844994816e-03,-1.064412263646563606e-03,-1.102256502034220509e-04,-5.366880182914562702e+00,1.114812957453013009e+00,1.154449148016025023e-01,-2.706537282124281295e-08
1.423001949317738763e+03,5.214110046480849650e-03,-5.877071625227971163e-04,-1.142164168742113039e-04,-5.461001944386565832e+00,6.155355235421379190e-01,1.196246471728980298e-01,-2.706359765146518664e-08
1.494152046783625792e+03,5.257266706089216632e-03,-1.057273713397279685e-04,-1.171840328619443074e-04,-5.506202103173699847e+00,1.107336391664413139e-01,1.227327819331416464e-01,-2.706199626971153270e-08
