# N, dt, tmax
# 2, 299.9178307313065, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
3.001644736842105203e+02,-4.140381716540041980e-04,-4.875094745774600016e-03,2.951368106335502500e-05,4.336431798133663640e-01,5.105934022952272500e+00,-3.091117529860495927e-02,-2.642542655090782033e-08
6.003289473684210407e+02,1.802921859823284484e-03,-4.813048688542324177e-03,-2.034509532211461796e-05,-1.888291519416086084e+00,5.040950039843656860e+00,2.130845036302707329e-02,-2.570469234381993306e-08
9.004934210526315610e+02,3.749069321564673166e-03,-3.988753635612874229e-03,-6.731109727268337715e-05,-3.926590477031256299e+00,4.177624017441399218e+00,7.049832661913445209e-02,-2.514060132910959771e-08
1.200657894736842081e+03,5.209136122052909941e-03,-2.633285935844961387e-03,-1.056081871991424814e-04,-5.455792501024214758e+00,2.757973937562145039e+00,1.106088115702326957e-01,-2.475990217499620277e-08
1.500822368421052488e+03,6.101171309203148180e-03,-9.835196092002444768e-04,-1.324189097069152442e-04,-6.390066202204828905e+00,1.030089977063275875e+00,1.386890412623877911e-01,-2.451698491714779217e-08
1.800986842105263122e+03,6.425575881953709927e-03,7.621273108558770937e-04,-1.469280456905417906e-04,-6.729831567102409373e+00,-7.982145925867231151e-01,1.538851953733719469e-01,-2.436302181072822303e-08
2.101151315789473756e+03,6.224694318576201243e-03,2.448593773461802195e-03,-1.494388931392721497e-04,-6.519438115791118094e+00,-2.564536467141259379e+00,1.565149332725229436e-01,-2.426479525996577373e-08
2.401315789473684163e+03,5.560441691842346601e-03,3.955369342049708248e-03,-1.408361284903722097e-04,-5.823732644709670225e+00,-4.142658953329747540e+00,1.475048214689850257e-01,-2.420274229058237731e-08
2.701480263157894569e+03,4.504675199234203439e-03,5.186138648016466735e-03,-1.223273695493026271e-04,-4.717974841833496136e+00,-5.431706079888212635e+00,1.281196593484458524e-01,-2.416615013596905493e-08
3.001644736842104976e+03,3.137009968025888246e-03,6.060684963050490259e-03,-9.536067648633394568e-05,-3.285549668540607815e+00,-6.347662798155082164e+00,9.987607378201901476e-02,-2.414981440759415818e-08
3.301809210526315837e+03,1.547059971743161566e-03,6.509892398743621217e-03,-6.165392895954199511e-05,-1.620314385093223786e+00,-6.818140532204591153e+00,6.457328727735099638e-02,-2.415222810880385372e-08
3.601973684210526244e+03,-1.602392445134645516e-04,6.474315476038688955e-03,-2.330797211741187638e-05,1.678266891289894314e-01,-6.780879016368716705e+00,2.441162152663086185e-02,-2.417462806593138392e-08
3.902138157894736651e+03,-1.856897918709139728e-03,5.907622383178122438e-03,1.700607479167206160e-05,1.944823383895034841e+00,-6.187352593950629753e+00,-1.781132478521146520e-02,-2.421984923268948569e-08
