# N, dt, tmax
# 2, 71.13623075423894, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
7.115009746588694384e+01,-2.083127300417659655e-03,-4.326794043145787416e-03,6.457942955654058536e-05,2.181764891146387608e+00,4.531670883802497940e+00,-6.763731245251895785e-02,-2.712909415627443659e-08
1.423001949317738877e+02,-1.603250717259220191e-03,-4.547998781617920705e-03,5.476177634035252483e-05,1.679165803222928854e+00,4.763349827310634055e+00,-5.735478622561246409e-02,-2.712835060427238030e-08
2.134502923976608315e+02,-1.104778538411997548e-03,-4.716452727200576116e-03,4.430895867916384855e-05,1.157090604648139953e+00,4.939780189571085778e+00,-4.640702005589066731e-02,-2.712757333889112843e-08
2.846003898635477753e+02,-5.936637713381933204e-04,-4.830933711101840534e-03,3.334908924257186445e-05,6.217741821114519674e-01,5.059681931211931882e+00,-3.492819284090937365e-02,-2.712677680852962208e-08
3.557504873294346908e+02,-7.585152342332187290e-05,-4.890914003640996037e-03,2.201298851639707320e-05,7.944314815123942886e-02,5.122502334168766325e+00,-2.305531951151255921e-02,-2.712597431598318506e-08
4.269005847953216630e+02,4.428038326615802247e-04,-4.896530594974379293e-03,1.043220805766909985e-05,-4.637709157632360912e-01,5.128384875181327018e+00,-1.092618068650603839e-02,-2.712517774408346422e-08
4.980506822612086353e+02,9.566119306941214947e-04,-4.848546143126950848e-03,-1.262771061462269033e-06,-1.001908200435825069e+00,5.078128324686005612e+00,1.322564188420772288e-03,-2.712439740127602487e-08
5.692007797270955507e+02,1.460109458948923586e-03,-4.748303014876623096e-03,-1.294413976165074577e-05,-1.529246702362743404e+00,4.973138611502658790e+00,1.355705418118198329e-02,-2.712364197256672067e-08
6.403508771929824661e+02,1.948112863095678368e-03,-4.597672707936231902e-03,-2.448815019276582384e-05,-2.040357422151131139e+00,4.815375850120164891e+00,2.564768189106067867e-02,-2.712291855629344860e-08
7.115009746588693815e+02,2.415761024494470898e-03,-4.399002707906903183e-03,-3.577629134080956817e-05,-2.530149063662659792e+00,4.607298681287930187e+00,3.747032472146710064e-02,-2.712223276537280445e-08
7.826510721247564106e+02,2.858548570851467911e-03,-4.155062537616435910e-03,-4.669625840307714228e-05,-2.993902921952961815e+00,4.351807766751260687e+00,4.890736015571711670e-02,-2.712158887233300476e-08
8.538011695906433260e+02,3.272350709380666446e-03,-3.868990432458426811e-03,-5.714272989222512664e-05,-3.427298892301622768e+00,4.052189939629056603e+00,5.984847965754263449e-02,-2.712098997977255403e-08
9.249512670565302415e+02,3.653440612413554316e-03,-3.544241749696206215e-03,-6.701797091033039023e-05,-3.826433679043092617e+00,3.712064170860825296e+00,7.019132051061531541e-02,-2.712043820111623197e-08
9.961013645224172706e+02,3.998500446065183372e-03,-3.184539911896620834e-03,-7.623228366988236797e-05,-4.187832346448103316e+00,3.335330189776412269e+00,7.984193767203508207e-02,-2.711993484006269936e-08
1.067251461988304072e+03,4.304627130163400997e-03,-2.793830407517754535e-03,-8.470432743610750519e-05,-4.508454351389731052e+00,2.926120306578154029e+00,8.871513886415600958e-02,-2.711948056048703518e-08
