# N, dt, tmax
# 2, 1262.9757785467127, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
1.267361111111111086e+03,1.003188015569386748e-02,-1.720651791960754046e-03,-2.173005282778183779e-04,-1.050689696759901892e+01,1.802125904084411534e+00,2.275898661253452360e-01,2.344571005541385214e-08
2.534722222222222172e+03,1.977048600539271089e-02,2.504367305191544310e-03,-4.527366858744504116e-04,-2.070663287779795780e+01,-2.622950916108824249e+00,4.741740967903417814e-01,2.075932604815497332e-08
3.802083333333333030e+03,2.856941894220534767e-02,6.621807165064639428e-03,-6.667022529363616622e-04,-2.992220168016563875e+01,-6.935354543998826671e+00,6.982710888638985480e-01,2.044839819899757629e-08
5.069444444444444343e+03,3.691204633903835686e-02,1.063389952486646847e-02,-8.700210963910901072e-04,-3.865985854380372899e+01,-1.113742239117132549e+01,9.112172272343552759e-01,2.037119665983709809e-08
6.336805555555555657e+03,4.498945460908659183e-02,1.456963193223915001e-02,-1.067088887700475518e-03,-4.711973796236512158e+01,-1.525951458670404115e+01,1.117616321600012119e+00,2.034324110648983543e-08
7.604166666666666060e+03,5.289305081101396827e-02,1.844908524730969751e-02,-1.260034130383847970e-03,-5.539757518513386714e+01,-1.932266283403648899e+01,1.319697661667851740e+00,2.033067148977408362e-08
8.871527777777777374e+03,6.067355163295080900e-02,2.228560544176022562e-02,-1.450046968460840576e-03,-6.354648837226071834e+01,-2.334084504630362034e+01,1.518707745641282969e+00,2.032417062188944431e-08
1.013888888888888869e+04,6.836207939931479571e-02,2.608834447751398611e-02,-1.637861731274945550e-03,-7.159907351282983257e+01,-2.732364653747314520e+01,1.715415673891584003e+00,2.032046249800179254e-08
1.140625000000000000e+04,7.597914906352135067e-02,2.986381400821434134e-02,-1.823964457324457351e-03,-7.957681695820164691e+01,-3.127788729271813040e+01,1.910330499192971487e+00,2.031818859849953830e-08
1.267361111111111131e+04,8.353902285177203235e-02,3.361680269589161635e-02,-2.008694133035490281e-03,-8.749465626134755780e+01,-3.520858272069420281e+01,2.103807259225054960e+00,2.031671433834759934e-08
1.394097222222222263e+04,9.105203201965189619e-02,3.735093274272481556e-02,-2.192296950199030398e-03,-9.536341187030855338e+01,-3.911952653748449649e+01,2.296103803138942023e+00,2.031571533197826479e-08
1.520833333333333212e+04,9.852590892125329125e-02,4.106901017618147520e-02,-2.374957563973490761e-03,-1.031911822717595442e+02,-4.301365763799523023e+01,2.487413529648918598e+00,2.031501360908945891e-08
1.647569444444444525e+04,1.059665968357094007e-01,4.477325331247922202e-02,-2.556818160493625966e-03,-1.109841921634175179e+02,-4.689329937732823339e+01,2.677885357506494923e+00,2.031450579877206847e-08
1.774305555555555475e+04,1.133787659337530673e-01,4.846544662473975529e-02,-2.737990639962665802e-03,-1.187473328519916009e+02,-5.076032072470361811e+01,2.867636485470800967e+00,2.031412897152946295e-08
1.901041666666666788e+04,1.207661550006469964e-01,5.214704735033730276e-02,-2.918564705000570303e-03,-1.264845201569423665e+02,-5.461624791874370999e+01,3.056760863646006854e+00,2.031384327791895333e-08
2.027777777777777737e+04,1.281318052444974098e-01,5.581926121708709332e-02,-3.098613406295323402e-03,-1.341989392897887683e+02,-5.846234377935157767e+01,3.245335001723230750e+00,2.031362262323477673e-08
2.154513888888888687e+04,1.354782247669254480e-01,5.948309742725602089e-02,-3.278197050772741969e-03,-1.418932171125854325e+02,-6.229966529525448493e+01,3.433422062205031544e+00,2.031344941897210432e-08
2.281250000000000000e+04,1.428075070587720707e-01,6.313940936349655975e-02,-3.457366021839165370e-03,-1.495695462444852808e+02,-6.612910625739331749e+01,3.621074814188633528e+00,2.031331150802945512e-08
2.407986111111110949e+04,1.501214181700126771e-01,6.678892524900729988e-02,-3.636162857029836062e-03,-1.572297763592127069e+02,-6.995142937086407642e+01,3.808337809392469797e+00,2.031320029965468581e-08
2.534722222222222263e+04,1.574214620209909710e-01,7.043227160006547416e-02,-3.814623806664028168e-03,-1.648754825888320852e+02,-7.376729081794476883e+01,3.995249014614761673e+00,2.031310960319758231e-08
2.661458333333333212e+04,1.647089301373179382e-01,7.406999141559528210e-02,-3.992780022142428976e-03,-1.725080176136301304e+02,-7.757725930895304600e+01,4.181841056297646020e+00,2.031303487895174827e-08
2.788194444444444525e+04,1.719849400761441494e-01,7.770255846238383057e-02,-4.170658475013580384e-03,-1.801285519079003166e+02,-8.138183104387753986e+01,4.368142183112077248e+00,2.031297274525793408e-08
2.914930555555555475e+04,1.792504655040358386e-01,8.133038862197443375e-02,-4.348282677052625958e-03,-1.877381052420279275e+02,-8.518144159655467718e+01,4.554177020132831544e+00,2.031292064717755718e-08
3.041666666666666424e+04,1.865063600185227211e-01,8.495384899720118121e-02,-4.525673251058391112e-03,-1.953375716320057052e+02,-8.897647545240441502e+01,4.739967166663236142e+00,2.031287662942527444e-08
3.168402777777777737e+04,1.937533762169731943e-01,8.857326529006068205e-02,-4.702848388136221872e-03,-2.029277393112341201e+02,-9.276727373564939683e+01,4.925531675170688573e+00,2.031283917800284851e-08
3.295138888888889051e+04,2.009921811101764988e-01,9.218892783110282929e-02,-4.879824217597968777e-03,-2.105093068739476507e+02,-9.655414052420201187e+01,5.110887438701671392e+00,2.031280710797223873e-08
3.421875000000000000e+04,2.082233686927304206e-01,9.580109654629562210e-02,-5.056615108836371754e-03,-2.180828964408198658e+02,-1.003373480517136045e+02,5.296049507050106797e+00,2.031277948275710464e-08
3.548611111111110949e+04,2.154474702789142271e-01,9.941000507888983484e-02,-5.233233919695651562e-03,-2.256490644842470488e+02,-1.041171410246125930e+02,5.481031346888480371e+00,2.031275555533340447e-08
3.675347222222221899e+04,2.226649630656205303e-01,1.030158642334928487e-01,-5.409692202359892531e-03,-2.332083107967412161e+02,-1.078937402292576024e+02,5.665845057405181073e+00,2.031273472484003968e-08
3.802083333333333576e+04,2.298762772761568374e-01,1.066188648721332066e-01,-5.586000375214237972e-03,-2.407610859729959998e+02,-1.116673455651328766e+02,5.850501550303457421e+00,2.031271650419926371e-08
3.928819444444444525e+04,2.370818021588358138e-01,1.102191803639569478e-01,-5.762167867229639126e-03,-2.483077976925143844e+02,-1.154381386105394256e+02,6.035010701022884838e+00,2.031270049569674850e-08
4.055555555555555475e+04,2.442818910543873012e-01,1.138169686688281779e-01,-5.938203239993241830e-03,-2.558488160269664604e+02,-1.192062848048557129e+02,6.219381476547976462e+00,2.031268637238268657e-08
4.182291666666666424e+04,2.514768657008726871e-01,1.174123741187277359e-01,-6.114114291423757008e-03,-2.633844779489444932e+02,-1.229719353142866254e+02,6.403622044034560368e+00,2.031267386377613466e-08
4.309027777777777374e+04,2.586670199101076539e-01,1.210055289481802021e-01,-6.289908144382846261e-03,-2.709150911824669947e+02,-1.267352286347576040e+02,6.587739863616969949e+00,2.031266274478250420e-08
4.435763888888889051e+04,2.658526227228508731e-01,1.245965546150702430e-01,-6.465591322753998574e-03,-2.784409375075680373e+02,-1.304962919752723280e+02,6.771741768089317937e+00,2.031265282703294383e-08
4.562500000000000000e+04,2.730339211292107660e-01,1.281855629454552170e-01,-6.641169817062761785e-03,-2.859622756095170644e+02,-1.342552424569331606e+02,6.955634031632884628e+00,2.031264395206522462e-08
4.689236111111110949e+04,2.802111424244109195e-01,1.317726571298488414e-01,-6.816649141321706219e-03,-2.934793435461315312e+02,-1.380121881563996737e+02,7.139422429352744182e+00,2.031263598591649676e-08
4.815972222222221899e+04,2.873844962571739381e-01,1.353579325935655997e-01,-6.992034382475104809e-03,-3.009923608931534318e+02,-1.417672290174442367e+02,7.323112289063673508e+00,2.031262881480692879e-08
4.942708333333333576e+04,2.945541764177426747e-01,1.389414777597990369e-01,-7.167330243572808159e-03,-3.085015306169343035e+02,-1.455204576501629106e+02,7.506708536508351237e+00,2.031262234167241133e-08
5.069444444444444525e+04,3.017203624043582333e-01,1.425233747209509183e-01,-7.342541081606344250e-03,-3.160070407150872711e+02,-1.492719600340922170e+02,7.690215734985017093e+00,2.031261648336276065e-08
5.196180555555555475e+04,3.088832208004131386e-01,1.461036998311655011e-01,-7.517670940781871411e-03,-3.235090656588497495e+02,-1.530218161388006877e+02,7.873638120195930235e+00,2.031261116836483460e-08
5.322916666666666424e+04,3.160429064891537299e-01,1.496825242309360871e-01,-7.692723581876364201e-03,-3.310077676653020262e+02,-1.567701004733355887e+02,8.056979630993584607e+00,2.031260633494240190e-08
5.449652777777777374e+04,3.231995637284454381e-01,1.532599143129376451e-01,-7.867702508218816712e-03,-3.385032978230243543e+02,-1.605168825741133389e+02,8.240243936592147378e+00,2.031260192960867704e-08
5.576388888888889051e+04,3.303533271045556718e-01,1.568359321368308634e-01,-8.042610988752670401e-03,-3.459957970910416520e+02,-1.642622274393645512e+02,8.423434460721907158e+00,2.031259790586607094e-08
5.703125000000000000e+04,3.375043223809706117e-01,1.604106357996146759e-01,-8.217452078565149268e-03,-3.534853971878325751e+02,-1.680061959170233195e+02,8.606554403130687092e+00,2.031259422316155444e-08
5.829861111111110949e+04,3.446526672558395954e-01,1.639840797671354711e-01,-8.392228637210926226e-03,-3.609722213846391128e+02,-1.717488450519333867e+02,8.789606758775150297e+00,2.031259084601699705e-08
5.956597222222221899e+04,3.517984720396252762e-01,1.675563151715505072e-01,-8.566943345109120575e-03,-3.684563852152047048e+02,-1.754902283973968622e+02,8.972594334994209220e+00,2.031258774330211154e-08
6.083333333333332848e+04,3.589418402628618554e-01,1.711273900788656821e-01,-8.741598718252228256e-03,-3.759379971123094037e+02,-1.792303962953798191e+02,9.155519766914430591e+00,2.031258488762425605e-08
6.210069444444444525e+04,3.660828692225117642e-01,1.746973497300955414e-01,-8.916197121431754247e-03,-3.834171589799973958e+02,-1.829693961290917628e+02,9.338385531301915066e+00,2.031258225481428843e-08
6.336805555555555475e+04,3.732216504742343899e-01,1.782662367591125174e-01,-9.090740780156860920e-03,-3.908939667091552792e+02,-1.867072725511500266e+02,9.521193959045298527e+00,2.031257982349178682e-08
6.463541666666666424e+04,3.803582702768797397e-01,1.818340913898431332e-01,-9.265231791418339358e-03,-3.983685106430521614e+02,-1.904440676901131155e+02,9.703947246429411422e+00,2.031257757469614040e-08
6.590277777777778101e+04,3.874928099946759463e-01,1.854009516151204906e-01,-9.439672133429851883e-03,-4.058408759985713345e+02,-1.941798213378025650e+02,9.886647465337773610e+00,2.031257549157247215e-08
6.717013888888889051e+04,3.946253464618612039e-01,1.889668533592091526e-01,-9.614063674461121450e-03,-4.133111432481081806e+02,-1.979145711195227761e+02,1.006929657250402776e+01,2.031257355910328165e-08
6.843750000000000000e+04,4.017559523139007660e-01,1.925318306257597367e-01,-9.788408180862944591e-03,-4.207793884664699249e+02,-2.016483526490220299e+02,1.025189641791697248e+01,2.031257176387860137e-08
6.970486111111110949e+04,4.088846962889028380e-01,1.960959156327382047e-01,-9.962707324371402468e-03,-4.282456836465639753e+02,-2.053811996698103712e+02,1.043444875247059578e+01,2.031257009389848577e-08
7.097222222222221899e+04,4.160116435024003856e-01,1.996591389356831003e-01,-1.013696268876764818e-02,-4.357100969871913207e+02,-2.091131441842531729e+02,1.061695523493925108e+01,2.031256853840268818e-08
7.223958333333332848e+04,4.231368556982806339e-01,2.032215295404843358e-01,-1.031117577596053943e-02,-4.431726931558569618e+02,-2.128442165716905095e+02,1.079941743834826617e+01,2.031256708772362455e-08
7.350694444444443798e+04,4.302603914783066363e-01,2.067831150067372392e-01,-1.048534801155113876e-02,-4.506335335291600472e+02,-2.165744456966843074e+02,1.098183685580194435e+01,2.031256573315883535e-08
