# N, dt, tmax
# 2, 711.5009746588694, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
7.128906250000000000e+02,3.373970726900569692e-03,-4.607181530178658044e-03,-5.635001482192004583e-05,-3.533730691461546058e+00,4.825334922002385341e+00,5.901822895287974630e-02,-1.430778899720207850e-08
1.425781250000000000e+03,7.790404976888286315e-03,-2.356809463573990467e-03,-1.645085127849439601e-04,-8.159286311009003256e+00,2.468406103513852035e+00,1.722981103540505987e-01,-1.153792050640390322e-08
2.138671875000000000e+03,1.064876258654781291e-02,4.513236896711621954e-04,-2.401242914748008724e-04,-1.115298922961888373e+01,-4.726941941905173361e-01,2.514943510874651511e-01,-1.128654369233942299e-08
2.851562500000000000e+03,1.245119904619029425e-02,3.228241337351556162e-03,-2.919858057184958593e-04,-1.304077236480303981e+01,-3.381100909468633287e+00,3.058115456995735837e-01,-1.124412199975727591e-08
3.564453125000000000e+03,1.352309800707971604e-02,5.819086010779173784e-03,-3.267297624973582713e-04,-1.416342652005123348e+01,-6.094623960011285924e+00,3.422006540677617892e-01,-1.122987608021400570e-08
4.277343750000000000e+03,1.405737226429155939e-02,8.179813189256712053e-03,-3.484893343958054288e-04,-1.472299905140560838e+01,-8.567133285074950422e+00,3.649905575003984382e-01,-1.122270965144484620e-08
4.990234375000000000e+03,1.417400187592214936e-02,1.029811600456731480e-02,-3.598977690905453999e-04,-1.484515115985939282e+01,-1.078573927729376791e+01,3.769391898643109640e-01,-1.121840555976665815e-08
5.703125000000000000e+03,1.395235255396023652e-02,1.217099893336615404e-02,-3.627183086938212567e-04,-1.461300658151031406e+01,-1.274730457311676801e+01,3.798932840664661637e-01,-1.121565123159681276e-08
6.416015625000000000e+03,1.344785352890003061e-02,1.379739219539694722e-02,-3.581866527693014783e-04,-1.408461916117683899e+01,-1.445070873741550521e+01,3.751470509424078004e-01,-1.121389543297726087e-08
7.128906250000000000e+03,1.270104286382807424e-02,1.517536962591273936e-02,-3.472017768029040633e-04,-1.330244646867695835e+01,-1.589393440014321435e+01,3.636420331202716572e-01,-1.121286673053439599e-08
7.841796875000000000e+03,1.174280584035464203e-02,1.630090088586782365e-02,-3.304379498970430162e-04,-1.229883622613835925e+01,-1.707276038277299435e+01,3.460844268342180285e-01,-1.121242753894330957e-08
8.554687500000000000e+03,1.059762878704328254e-02,1.716709066868116196e-02,-3.084143739541556377e-04,-1.109943420756740373e+01,-1.797996488094886303e+01,3.230180185738809051e-01,-1.121252097108814870e-08
9.267578125000000000e+03,9.285793573353053054e-03,1.776347988719922250e-02,-2.815413793449123145e-04,-9.725482643673533545e+00,-1.860459356214374083e+01,2.948725681510200314e-01,-1.121315273829784521e-08
9.980468750000000000e+03,7.825035078396505583e-03,1.807517685699136512e-02,-2.501538993062874536e-04,-8.195556172976788289e+00,-1.893104960985281338e+01,2.619988681346551163e-01,-1.121439317191915378e-08
1.069335937500000000e+04,6.232018688339314993e-03,1.808161652144719272e-02,-2.145393727153552428e-04,-6.527109299782489771e+00,-1.893779419709799328e+01,2.246979678414679771e-01,-1.121640006099734337e-08
1.140625000000000000e+04,4.523977557790756499e-03,1.775467974940650451e-02,-1.749665631978754125e-04,-4.738191181087734627e+00,-1.859537673143466563e+01,1.832513570501110023e-01,-1.121947769949374014e-08
1.211914062500000000e+04,2.720990199792883146e-03,1.705572902795340906e-02,-1.317242035093076601e-04,-2.849831062110918189e+00,-1.786333018564648967e+01,1.379614402217322622e-01,-1.122422105805906547e-08
1.283203125000000000e+04,8.498171195467779659e-04,1.593074612947564112e-02,-8.518663706752753646e-05,-8.900565774115440920e-01,-1.668507852980827622e+01,8.922028620694325007e-02,-1.123190462637511734e-08
1.354492187500000000e+04,-1.048582005440348852e-03,1.430198023949617869e-02,-3.594731113084801387e-05,1.098233125022617163e+00,-1.497918939190416054e+01,3.764944242278198822e-02,-1.124573120015310676e-08
1.425781250000000000e+04,-2.902176948173629256e-03,1.205288083856906334e-02,1.486633820217903371e-05,3.039597134630260822e+00,-1.262359350073740671e+01,-1.557027011403445786e-02,-1.127593977178703174e-08
1.497070312500000000e+04,-4.563940087514650745e-03,9.000137978554229035e-03,6.472623022588845990e-05,4.780045965620352000e+00,-9.426301048978551478e+00,-6.779106424018746524e-02,-1.136842446849613909e-08
1.568359375000000000e+04,-5.674875143237029240e-03,4.849018057949516791e-03,1.068246463147711715e-04,5.943584603145224854e+00,-5.078622585018179869e+00,-1.118828709085468165e-01,-1.182874108308899194e-08
1.639648437500000000e+04,-5.156668630259375607e-03,-7.343108172073870010e-04,1.184226657724523311e-04,5.400840635385140587e+00,7.690809677598045013e-01,-1.240300650116280129e-01,-1.387276693244964827e-08
1.710937500000000000e+04,-4.859572247429694292e-04,-5.986876644758512556e-03,3.574088945171565584e-05,5.089676523036167355e-01,6.270359602382209907e+00,-3.743324652721070900e-02,2.075123187496294798e-10
1.782226562500000000e+04,4.886861854226723367e-03,-8.211259173016849378e-03,-7.522795764051699169e-05,-5.118258312536501542e+00,8.600068259006526716e+00,7.879005607569926350e-02,2.404866187745522109e-09
1.853515625000000000e+04,9.668130790786683137e-03,-9.343822872155460590e-03,-1.774969941220477798e-04,-1.012592380605858011e+01,9.786259671923103198e+00,1.859016057164903368e-01,2.276501828393468665e-09
1.924804687500000000e+04,1.395949486063705058e-02,-9.996921453098162047e-03,-2.707967746463598759e-04,-1.462048708159601063e+01,1.047028294504357149e+01,2.836191986157793887e-01,2.203522875649466589e-09
