# N, dt, tmax
# 2, 40.004384042086805, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
4.000876904527019917e+01,-2.286142763897034726e-03,-4.213674608240238276e-03,6.865170962966940212e-05,2.394393284279301870e+00,4.413195161491258567e+00,-7.190241794496109173e-02,-2.712924041672021346e-08
8.001753809054039834e+01,-2.025227212554607699e-03,-4.356875129440695646e-03,6.340895584083677838e-05,2.121123192068001817e+00,4.563176331382498674e+00,-6.641141595621737059e-02,-2.712867915215716170e-08
1.200263071358105975e+02,-1.756813813713675948e-03,-4.483947942154667930e-03,5.793145788214205797e-05,1.840000223833173632e+00,4.696266134076255483e+00,-6.067455449066502804e-02,-2.712810735791664796e-08
1.600350761810807967e+02,-1.481941286051238760e-03,-4.594537760423572301e-03,5.224097968563284455e-05,1.552112282335632809e+00,4.812092460565750685e+00,-5.471462801834209300e-02,-2.712752735330235697e-08
2.000438452263509816e+02,-1.201659617078891778e-03,-4.688360566641147122e-03,4.635983334128995049e-05,1.258559072758294262e+00,4.910357844804770444e+00,-4.855500512289608744e-02,-2.712694140491482248e-08
2.400526142716211950e+02,-9.170247569813532590e-04,-4.765203004133918875e-03,4.031075785677298867e-05,9.604465452940995629e-01,4.990838827526386190e+00,-4.221950152051549138e-02,-2.712635170760253970e-08
2.800613833168914084e+02,-6.290935306867845040e-04,-4.824921345877647948e-03,3.411680103911382778e-05,6.588815662991700517e-01,5.053384876127365644e+00,-3.573225634863564509e-02,-2.712576036815896004e-08
3.200701523621615934e+02,-3.389188018163677603e-04,-4.867440079686439526e-03,2.780120541871885300e-05,3.549668532518854835e-01,5.097916902864964683e+00,-2.911761268835958913e-02,-2.712516939182256271e-08
3.600789214074317783e+02,-4.754491559435158800e-05,-4.892750152175617123e-03,2.138729899729079387e-05,4.979620188141014453e-02,5.124425425670165346e+00,-2.240000313921469005e-02,-2.712458067155720939e-08
4.000876904527019633e+02,2.439965586407828431e-04,-4.900906914754139636e-03,1.489839146114920379e-05,-2.555499729163301370e-01,5.132968416881345419e+00,-1.560384111809843231e-02,-2.712399598002055471e-08
4.400964594979722051e+02,5.346907708549148309e-04,-4.892027814936913271e-03,8.357676363493558007e-06,-5.600087672209750345e-01,5.123668885238547688e+00,-8.753418409800645464e-03,-2.712341696407214264e-08
4.801052285432423901e+02,8.235432109831403950e-04,-4.866289875487943631e-03,1.788139646471217884e-06,-8.625385801936975572e-01,5.096712235662233859e+00,-1.872809357524918110e-03,-2.712284514162859158e-08
5.201139975885125750e+02,1.109583003467195204e-03,-4.823927002428172670e-03,-4.787525251021774379e-06,-1.162122564613365494e+00,5.052343449793329277e+00,5.014218049017872200e-03,-2.712228190064160939e-08
5.601227666337828168e+02,1.391865877062009550e-03,-4.765227160887739247e-03,-1.134699556913855201e-05,-1.457771737305595616e+00,4.990864128120046317e+00,1.188428405108825185e-02,-2.712172849995459183e-08
6.001315356790529449e+02,1.669476815499501944e-03,-4.690529455271646476e-03,-1.786839066001796842e-05,-1.748527755317401899e+00,4.912629431887269860e+00,1.871447193625610725e-02,-2.712118607178354571e-08
6.401403047243231867e+02,1.941532398193280586e-03,-4.600221147355839160e-03,-2.433033674369158186e-05,-2.033465367455964845e+00,4.818044959997318522e+00,2.548239586054690947e-02,-2.712065562556792231e-08
6.801490737695934286e+02,2.207182843169367900e-03,-4.494734642845361373e-03,-3.071202513276143195e-05,-2.311694553953610676e+00,4.707563592879441039e+00,3.216626183010026091e-02,-2.712013805294297212e-08
7.201578428148635567e+02,2.465613766832953652e-03,-4.374544473704986003e-03,-3.699326413928251173e-05,-2.582362369560797344e+00,4.581682331931614449e+00,3.874492206588099619e-02,-2.711963413359807286e-08
7.601666118601337985e+02,2.716047677059687908e-03,-4.240164300301441959e-03,-4.315452493290115681e-05,-2.844654507336365157e+00,4.440939159712023354e+00,4.519792303323365290e-02,-2.711914454180235402e-08
8.001753809054039266e+02,2.957745217471651703e-03,-4.092143954148356154e-03,-4.917698166347974373e-05,-3.097796601840877795e+00,4.285909942655826477e+00,5.150554746434268111e-02,-2.711866985339857840e-08
8.401841499506741684e+02,3.190006181668875694e-03,-3.931066538881198766e-03,-5.504254619495644327e-05,-3.341055291392740934e+00,4.117205394779164251e+00,5.764885073676562222e-02,-2.711821055308805894e-08
