# N, dt, tmax
# 2, 1262.9757785467127, 365000
# t, xSun, ySun, zSun, xJup, yJup, zJup, E
0.000000000000000000e+00,-2.538538502120102781e-03,-4.054773079123795421e-03,7.363862678302768978e-05,2.658740144031779717e+00,4.246769529554976330e+00,-7.712546924771697399e-02,-2.712978880124756464e-08
1.267361111111111086e+03,1.003188015569386402e-02,-1.720651791960755780e-03,-2.173005282778183779e-04,-1.050689696759901537e+01,1.802125904084411978e+00,2.275898661253452360e-01,1.298504895041644080e-08
2.534722222222222172e+03,1.870361727510534700e-02,1.282165020988552950e-03,-4.237903533293744997e-04,-1.958924713822447217e+01,-1.342876466017190795e+00,4.438571343744430742e-01,1.006076191854350677e-08
3.802083333333333030e+03,2.621222217251653608e-02,4.205247126586979245e-03,-6.039256926106100886e-04,-2.745338993131111138e+01,-4.404368632460518462e+00,6.325220128097384098e-01,9.745766105344604127e-09
5.069444444444444343e+03,3.314675309489086008e-02,7.036230099266280180e-03,-7.708344530576643821e-04,-3.471627592967130482e+01,-7.369400705145928931e+00,8.073340242960906910e-01,9.666884488846714560e-09
6.336805555555555657e+03,3.973219516779609439e-02,9.793110203923458684e-03,-9.296250816449043832e-04,-4.161354346798363935e+01,-1.025682108518465974e+01,9.736435044825609841e-01,9.638027515577126658e-09
7.604166666666666060e+03,4.608004862170625437e-02,1.249142995169145315e-02,-1.082856784066639402e-03,-4.826197239362189606e+01,-1.308290823290090721e+01,1.134130839311932037e+00,9.624934829244645530e-09
8.871527777777777374e+03,5.225439689816396144e-02,1.514271572629254797e-02,-1.232011206535450288e-03,-5.472868054563198825e+01,-1.585973431465824923e+01,1.290347832021125463e+00,9.618108743533419200e-09
1.013888888888888869e+04,5.829577405317881711e-02,1.775546801832872390e-02,-1.378030545231646647e-03,-6.105612129701695778e+01,-1.859620232546290453e+01,1.443281292463941323e+00,9.614186523787567872e-09
1.140625000000000000e+04,6.423159855007316843e-02,2.033607155042565368e-02,-1.521554766753693139e-03,-6.727301139525252438e+01,-2.129899930919433260e+01,1.593601490122114051e+00,9.611765018898984073e-09
1.267361111111111131e+04,7.008136190578213853e-02,2.288942765969077808e-02,-1.663040322843790508e-03,-7.339976529475815425e+01,-2.397325868483203237e+01,1.741786490059374914e+00,9.610185111891527776e-09
1.394097222222222263e+04,7.585946137586233040e-02,2.541937746974443774e-02,-1.802825285106208477e-03,-7.945146197159829171e+01,-2.662300345598974260e+01,1.888190371816010238e+00,9.609108132555969341e-09
1.520833333333333212e+04,8.157686001028678635e-02,2.792898733239700115e-02,-1.941167671856456256e-03,-8.543958358412507437e+01,-2.925144516846322418e+01,2.033083371062177402e+00,9.608347374074621681e-09
1.647569444444444525e+04,8.724211526807940098e-02,3.042074517542983636e-02,-2.078269277372829342e-03,-9.137309279326281342e+01,-3.186118955522139018e+01,2.176676837181819479e+00,9.607793894983458507e-09
1.774305555555555475e+04,9.286204572579918881e-02,3.289669856222146582e-02,-2.214291161940152870e-03,-9.725913104012315102e+01,-3.445438113325597840e+01,2.319139456781232234e+00,9.607381085628101134e-09
1.901041666666666788e+04,9.844217956956356763e-02,3.535855386186829985e-02,-2.349364098098382335e-03,-1.031034882744515215e+02,-3.703280706947947465e+01,2.460608194575124141e+00,9.607066590158624605e-09
2.027777777777777737e+04,1.039870658539687881e-01,3.780774891027374740e-02,-2.483595836399494269e-03,-1.089109289518834487e+02,-3.959797328236968639e+01,2.601195903182369040e+00,9.606822561333046174e-09
2.154513888888888687e+04,1.095004963372496476e-01,4.024550721872587056e-02,-2.617076293797913379e-03,-1.146854243731602168e+02,-4.215116121736284072e+01,2.740996757190496069e+00,9.606630156791758316e-09
2.281250000000000000e+04,1.149856672488930032e-01,4.267287908298478261e-02,-2.749881343709799364e-03,-1.204303221115564924e+02,-4.469347090248619025e+01,2.880090222677027523e+00,9.606476304094336989e-09
2.407986111111110949e+04,1.204452996339250570e-01,4.509077322289668788e-02,-2.882075639955122750e-03,-1.261484720555567804e+02,-4.722585408613065283e+01,3.018544014867272196e+00,9.606351732247194203e-09
2.534722222222222263e+04,1.258817304670057924e-01,4.749998146206663163e-02,-3.013714757809166783e-03,-1.318423218372687131e+02,-4.974914008532413590e+01,3.156416340566162937e+00,9.606249736977561112e-09
2.661458333333333212e+04,1.312969827180566484e-01,4.990119821390889832e-02,-3.144846842553828976e-03,-1.375139902157088159e+02,-5.226405619446045847e+01,3.293757624769665604e+00,9.606165385202642030e-09
2.788194444444444525e+04,1.366928199855877990e-01,5.229503603806463785e-02,-3.275513896432160135e-03,-1.431653242970577651e+02,-5.477124397832470493e+01,3.430611858557546689e+00,9.606094990091485311e-09
2.914930555555555475e+04,1.420707896316158736e-01,5.468203818562437923e-02,-3.405752795835839675e-03,-1.487979447120475527e+02,-5.727127241134111557e+01,3.567017664445417235e+00,9.606035757193810227e-09
3.041666666666666424e+04,1.474322572241346108e-01,5.706268880995768455e-02,-3.535596104315992701e-03,-1.544132816893082349e+02,-5.976464857189298385e+01,3.703009147892198705e+00,9.605985541247282299e-09
3.168402777777777737e+04,1.527784343215787544e-01,5.943742134839435920e-02,-3.665072729033469999e-03,-1.600126041554465246e+02,-6.225182642088247320e+01,3.838616584833806744e+00,9.605942676103777862e-09
3.295138888888889051e+04,1.581104010963675366e-01,6.180662545646770090e-02,-3.794208455729140058e-03,-1.655970434298301370e+02,-6.473321406431541902e+01,3.973866981984666591e+00,9.605905853885570801e-09
3.421875000000000000e+04,1.634291249141634483e-01,6.417065278630812442e-02,-3.923026388408396188e-03,-1.711676126835884588e+02,-6.720917980530602165e+01,4.108784537341610310e+00,9.605874037864867181e-09
3.548611111111110949e+04,1.687354757120671511e-01,6.652982183422459506e-02,-4.051547313540394130e-03,-1.767252230459757243e+02,-6.968005722119482925e+01,4.243391021628205806e+00,9.605846398812808014e-09
3.675347222222221899e+04,1.740302388197580152e-01,6.888442203281000542e-02,-4.179790003909051102e-03,-1.822706970326019587e+02,-7.214614944941820340e+01,4.377706096533322544e+00,9.605822267920974386e-09
3.802083333333333576e+04,1.793141257206108119e-01,7.123471722539742590e-02,-4.307771473808606234e-03,-1.878047798160965272e+02,-7.460773282648271731e+01,4.511747581990392497e+00,9.605801101583081002e-09
3.928819444444444525e+04,1.845877831401071256e-01,7.358094863210706826e-02,-4.435507194703157234e-03,-1.933281487448623466e+02,-7.706505999445644761e+01,4.645531682048573252e+00,9.605782454770584941e-09
4.055555555555555475e+04,1.898518007660793538e-01,7.592333739473669518e-02,-4.563011278526151425e-03,-1.988414214288789594e+02,-7.951836256636194378e+01,4.779073176851612814e+00,9.605765960707264864e-09
4.182291666666666424e+04,1.951067178422399850e-01,7.826208677069196318e-02,-4.690296634313575672e-03,-2.043451626454403538e+02,-8.196785342399057583e+01,4.912385586687728178e+00,9.605751315210622528e-09
4.309027777777777374e+04,2.003530288279255500e-01,8.059738403281449526e-02,-4.817375102723484709e-03,-2.098398902668917003e+02,-8.441372870768911696e+01,5.045481312878732361e+00,9.605738264525422480e-09
